WORD,DEFINITION,synonyms,Difficulty
abacus,frame with balls for calculating       ,"something, anything",1
abate,to lessen to subside        ,"something, anything",1
abdication,giving up control authority        ,"something, anything",1
aberration,straying away from what is normal      ,"something, anything",1
abet,help/encourage smb (in doing wrong)     ,"something, anything",1
abeyance,suspended action          ,"something, anything",1
abhor,to hate to detest        ,"something, anything",1
abide,be faithful to endure        ,"something, anything",1
abjure,promise or swear to give up      ,"something, anything",1
abraded,rubbed off worn away by friction      ,"something, anything",1
abrogate,repeal or annul by authority       ,"something, anything",1
abscond,to go away suddenly (to avoid arrest)     ,"something, anything",1
abstruse,difficult to comprehend obscure        ,"something, anything",1
abut,border on          ,"something, anything",1
abysmal,bottomless extreme          ,"something, anything",1
acarpous,effete no longer fertile worn out      ,"something, anything",1
acclaimed,welcomed with shouts and approval       ,"something, anything",1
accolade,praise approval          ,"something, anything",1
accretion,the growing of separate things into one     ,"something, anything",1
adamant,kind of stone inflexible        ,"something, anything",1
admonitory,containing warning          ,"something, anything",1
adorn,add beauty decorate         ,"something, anything",1
adulteration,making unpure poorer in quality       ,"something, anything",1
affable,polite and friendly       ,"something, anything",1
affinity,close connection relationship         ,"something, anything",1
aggravate,make worse irritate         ,"something, anything",1
agile,active quick-moving          ,"something, anything",1
agog,eager/excited         ,"something, anything",1
ail,trouble be ill         ,"something, anything",1
alacrity,eager and cheerful readiness        ,"something, anything",1
alcove,recess/partially enclosed place       ,"something, anything",1
allegiance,duty support loyalty         ,"something, anything",1
alleviate,make (pain) easier to bear       ,"something, anything",1
alloy,to debase by mixing with something inferior     ,"something, anything",1
aloof,reserved indifferent          ,"something, anything",1
amalgamate,mix combine unite societies        ,"something, anything",1
ambidextrous,able to use the left hand or the right equally well ,"something, anything",1
ambiguous,doubtful uncertain          ,"something, anything",1
ambivalent,having both of two contrary meanings      ,"something, anything",1
ameliorate,improve make better         ,"something, anything",1
amortize,end (a debt) by setting aside money     ,"something, anything",1
anguish,severe suffering        ,"something, anything",1
animosity,strong dislike          ,"something, anything",1
antidote,medicine used against a poison or a disease    ,"something, anything",1
antithetical,direct opposing          ,"something, anything",1
apartheid,brutal racial discrimination         ,"something, anything",1
aplomb,self-confidence           ,"something, anything",1
apostate,one who abandons long-held religious or political convictions    ,"something, anything",1
